edu.ncsu.lib.geodata/drg/historic/capefear-1942_lnr.jp2:http {'arcFileParition': 2926, 'compressedSize': 2093444, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346909318214, 'arcFileOffset': 33220474}
edu.ncsu.lib.geodata/drg/historic/chadbourn-1953.jp2:http {'arcFileParition': 2926, 'compressedSize': 1879482, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346909020943, 'arcFileOffset': 93647160}
edu.ncsu.lib.geodata/drg/historic/chadbourn-1953_lnr.jp2:http {'arcFileParition': 2927, 'compressedSize': 2094670, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346908753812, 'arcFileOffset': 73426339}
edu.ncsu.lib.geodata/drg/historic/chapelhill-1947.jp2:http {'arcFileParition': 2928, 'compressedSize': 1877404, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346908558958, 'arcFileOffset': 37967596}
edu.ncsu.lib.geodata/drg/historic/chapelhill-1947_lnr.jp2:http {'arcFileParition': 2928, 'compressedSize': 2095204, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346909500746, 'arcFileOffset': 39454782}
edu.ncsu.lib.geodata/drg/historic/charlotte-1907.jp2:http {'arcFileParition': 2954, 'compressedSize': 1878701, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346908238851, 'arcFileOffset': 42442680}
edu.ncsu.lib.geodata/drg/historic/charlotte-1907_lnr.jp2:http {'arcFileParition': 2954, 'compressedSize': 2095223, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346908877749, 'arcFileOffset': 73408719}
edu.ncsu.lib.geodata/drg/historic/charlotte-1942.jp2:http {'arcFileParition': 2954, 'compressedSize': 1879045, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346909551791, 'arcFileOffset': 16947360}
edu.ncsu.lib.geodata/drg/historic/charlotte-1942_lnr.jp2:http {'arcFileParition': 2955, 'compressedSize': 2095068, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346908556531, 'arcFileOffset': 35258087}
edu.ncsu.lib.geodata/drg/historic/chocowinity-1903.jp2:http {'arcFileParition': 2955, 'compressedSize': 1880092, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346909351019, 'arcFileOffset': 36201476}
edu.ncsu.lib.geodata/drg/historic/chocowinity-1903_lnr.jp2:http {'arcFileParition': 2956, 'compressedSize': 2094783, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346908541147, 'arcFileOffset': 74283130}
